Šifra;Naziv;Župnija;Poštanski Broj;Mjesto;Adresa;Tip Ustanove;Osnivač;Ravnatelj;Telefon;Faks;e Pošta;Web
01-087-001;OSNOVNA ŠKOLA EUGENA KVATERNIKA;Zagrebačka županija;10410;Velika Gorica;ŠKOLSKA 4;Osnovna škola;Grad Velika Gorica;Monika Brleković;01/622-13-34, 01/622-7238;01/622-20-21;ured@os-ekvaternika-velikagorica.skole.hr;www.os-ekvaternika-velikagorica.skole.hr
01-087-002;OSNOVNA ŠKOLA JURJA HABDELIĆA;Zagrebačka županija;10410;Velika Gorica;Školska 1;Osnovna škola;Grad Velika Gorica;Davor Vidović;622-12-17, 622-10-30, 626-05-81, 6256 363;622-10-30;os-jurja.habdelica@zg.t-com.hr\t, ured@os-jhabdelica-velikagorica.skole.hr;http://os-jhabdelica-velikagorica.skole.hr
01-087-003;Osnovna škola Vukovina;Zagrebačka županija;10419;Gornje Podotočje;ŠKOLSKA 20/A;Osnovna škola;Grad Velika Gorica;Damir Bedić;01/6230-005;01/6230-503;ured@os-vukovina.skole.hr;http://www.os-vukovina.skole.hr/
01-087-004;Osnovna škola Nikole Hribara;Zagrebačka županija;10410;Velika Gorica;RUĐERA BOŠKOVIĆA 11;Osnovna škola;Grad Velika Gorica;Stjepan Maravić;01 234-47-14, 01 622-13-31;01 622-15-78;velikagorica@os-nhribara-velikagorica.skole.hr;www.osnikolehribara.hr
01-087-005;Osnovna škola Eugena Kumičića;Zagrebačka županija;10410;Velika Gorica;JOSIPA PUCEKOVIĆA 4;Osnovna škola;Grad Velika Gorica;Snježana Ruklić;01/622-13-02, 01/622-13-02, 01/6221-302, 01/6260-562, 01-6213-963;01/622-20-29;ured@os-ekumicica-velikagorica.skole.hr;http://os-ekumicica-velikagorica.skole.hr/
01-087-006;Osnovna škola VELIKA MLAKA;Zagrebačka županija;10408;Velika Mlaka;Brune Bušića 7;Osnovna škola;Grad Velika Gorica;Zrinka Šućur;623-56-06, 623-51-52;623-55-05;ured@os-velika-mlaka.skole.hr;www.os-velika-mlaka.skole.hr
01-545-001;OSNOVNA ŠKOLA SLAVKA KOLARA;Zagrebačka županija;10413;Kravarsko;Gajevo 2;Osnovna škola;Zagrebačka županija;;01/6237-335, 01/6260-568, 01/6237-395;01/6237-335;ured@os-skolara-kravarsko.skole.hr;www.os-skolara-kravarsko.skole.hr
01-544-001;Osnovna škola POKUPSKO;Zagrebačka županija;10414;Pokupsko;POKUPSKO 37/a;Osnovna škola;Zagrebačka županija;Štefica Facko Vrban;0916266136;626-61-36;ured@os-pokupsko.skole.hr;www.os-pokupsko.hr
01-087-010;Osnovna škola ŠĆITARJEVO;Zagrebačka županija;10410;Šćitarjevo;Šćitarjevo 104;Osnovna škola;Grad Velika Gorica;Mario Ivić;+385(01)62 58 235, +385(01)62 58 778;+385(01)62 58 778;ured@os-scitarjevo.skole.hr, osnovna.skola.scitarjevo@zg.t-com.hr;
01-087-011;CENTAR ZA ODGOJ I OBRAZOVANJE VELIKA GORICA;Zagrebačka županija;10410;Velika Gorica;ZAGREBAČKA 90;Osnovna škola;Ministarstvo za demografiju, obitelj, mlade i socijalnu skrb;Nikolina Vučković-Barišić;622-14-33;625-25-15;czoo.vg@gmail.com;www.centar-odgojiobrazovanje-velikagorica.skole.hr
01-094-001;Osnovna škola Krunoslava Kutena;Zagrebačka županija;10340;Vrbovec;TRG PETRA ZRINSKOG 2;Osnovna škola;Grad Vrbovec;Žarko Popović;01/279-14-33, 279-10-27, 01/279-14-33, 279-10-27;01/2794-472;ured@os-kkutena-vrbovec.skole.hr;http://www.os-kkutena-vrbovec.skole.hr
01-094-003;Osnovna škola Marije Jurić Zagorke;Zagrebačka županija;10340;Vrbovec;BRDO 12A;Osnovna škola, Umjetnička škola;GRAD VRBOVEC;Edina Operta;01/279-29-29, 279-29-39, 01/279-29-29, 279-29-39;01/279-29-29;ured@os-mjzagorke-vrbovec.skole.hr;http://os-mjzagorke-vrbovec.skole.hr/
01-108-001;Osnovna škola Antuna Augustinčića;Zagrebačka županija;10290;Zaprešić;VLADIMIRA NAZORA 2A;Osnovna škola;GRAD ZAPREŠIĆ;Danijela Adžijević;o1/3310 161, 01/ 3310 443;;danijela.adzijevic@skole.hr, ured@os-aaugustincica-zapresic.skole.hr;
01-151-003;OSNOVNA ŠKOLA PAVAO BELAS;Zagrebačka županija;10291;Brdovec;Ilije Gregorića 28;Osnovna škola, Umjetnička škola;Zagrebačka županija;Andrej Peklić;33 15 216, 01/3315439;01/3398420;osnovna.skola-pavao.belas@zg.t-com.hr;http://os-pavao-belas.skole.hr/
01-108-002;OSNOVNA ŠKOLA LJUDEVITA GAJA;Zagrebačka županija;10290;Zaprešić;LJUDEVITA GAJA 2;Osnovna škola;GRAD ZAPREŠIĆ;Đurđica Šepac;01/3355-655, 01/3355-655;01/335-87-29;tajnistvo@os-ljudevita-gaja-zapresic.skole.hr;
01-547-001;Osnovna škola Bistra;Zagrebačka županija;10298;Poljanica Bistranska;BISTRANSKA 30;Osnovna škola;Zagrebačka županija;Eduard Kovačević;3390-016, 3391-716;3390-016;tajnistvo@os-bistra.skole.hr;
01-109-001;OSNOVNA ŠKOLA DRAGUTINA DOMJANIĆA;Zagrebačka županija;10380;Sveti Ivan Zelina;I. Gundulića 2;Osnovna škola;Zagrebačka županija;Gordana Čosić;206-11-09, 206-09-18, 206-16-40, 206-17-40;206-09-18;osnovna.skola.zelina@zg.t-com.hr;
01-109-002;OSNOVNA ŠKOLA KSAVERA ŠANDORA ĐALSKOG;Zagrebačka županija;10382;Donja Zelina;DRAGUTINA STRAŽIMIRA 24;Osnovna škola;Zagrebačka županija;Lidija Smrndić;206-50-19, 206-50-61, 202-07-95;206-50-61;, ured@os-ksdjalski-donjazelina.skole.hr;http://os-ksdjalski-donjazelina.skole.hr
01-151-001;Osnovna škola Ivana Perkovca;Zagrebačka županija;10292;Šenkovec;ZAGREBAČKA 30;Osnovna škola;Zagrebačka županija;Vesna Javor;01/3395-758, 01/3312-143, 01/3312-127, 01/2339-417, 01/3312-122;01/3313-800;os-ivana-perkovca@zg.t-com.hr, ured@os-iperkovca-senkovec.skole.hr;http://os-iperkovca-senkovec.skole.hr/
01-151-002;Osnovna škola Ivane Brlić-Mažuranić;Zagrebačka županija;10291;Prigorje Brdovečko;KOLODVORSKA 31;Osnovna škola;Zagrebačka županija;Goran Hotko;01/3397-305, 01/3357-823, 01/3395-787 (PŠ Laduč);01/3397-305;ured@os-ibmazuranic-prigorjebrdovecko.skole.hr;www.os-ibmazuranic-prigorjebrdovecko.skole.hr
01-152-001;Osnovna škola Rugvica;Zagrebačka županija;10370;Rugvica;POSAVSKA 2;Osnovna škola;Zagrebačka županija;;01/276-00-59; 01/277-55-33; 01/277-56-06;01/276-45-34; 01/276-05-83;os-rugvica@os-rugvica.skole.hr;http://www.os-rugvica.skole.hr
01-153-001;Osnovna škola Stjepan Radić;Zagrebačka županija;10370;Božjakovina;DOMAĆINSKA 1;Osnovna škola;Zagrebačka županija;Jure Mišković;01/276-34-56;01/276-35-56;skola@os-stjepan-radic-bozjakovina.skole.hr;www.os-stjepan-radic-bozjakovina.skole.hr
01-108-004;Osnovna škola Kupljenovo;Zagrebačka županija;10295;Kupljenovo;MATIJE GUPCA 53;Osnovna škola;GRAD ZAPREŠIĆ;Jadranka Kekelj;01/ 339-36-52, 01/ 331-50-00;01/339-36-52;kupljenovo@os-kupljenovo.skole.hr;os-kupljenovo.skole.hr
01-155-001;Osnovna škola Pušća;Zagrebačka županija;10294;Donja Pušća;ZAGORSKA 2;Osnovna škola;Zagrebačka županija;Arsen Šarunić;01/339-29-17, 01/3392-917 - kućni 102, 01/3392-917 . 01/3310-797, 013392-917, mob. MŠ Pušća 099/ 2725-078;01/3391-561;os-pusca@zg.t-com.hr, ured@os-pusca-donja.skole.hr;http://os-pusca-donja.skole.hr/
01-156-001;Osnovna škola Sveta Nedelja;Zagrebačka županija;10431;Sveta Nedelja;Svetonedeljska 21;Osnovna škola;Zagrebačka županija;Anica Magdalenić;337-08-66, 337-07-62, 337-08-52;3336 746;racunovodstvo@os-sveta-nedelja.skole.hr, ured@os-sveta-nedelja.skole.hr;
01-157-001;OSNOVNA ŠKOLA KLINČA SELA;Zagrebačka županija;10450;Klinča Sela;Amruševa 32;Osnovna škola;Zagrebačka županija;Ivo Karača;6586959;6586955;ured@os-klinca-sela.skole.hr;www.os-klinca-sela.skole.hr
01-158-001;Osnovna škola Vladimir Nazor;Zagrebačka županija;10451;Pisarovina;ZAGREBAČKA 12;Osnovna škola;Zagrebačka županija;Branka Smolković Cerovski;01/629-10-10, 01/629-16-81, 099/639 6518;01/6291805;ured@os-vladimir-nazor-pisarovina.skole.hr;
01-159-001;Osnovna škola Kardinal Alojzije Stepinac;Zagrebačka županija;10454;Krašić;KRAŠIĆ BB;Osnovna škola;Zagrebačka županija;Helena Beketić;01/627-00-05, 01/627-00-05;01/627-00-51;ured@os-alojzije-stepinac-krasic.skole.hr;http://os-alojzije-stepinac-krasic.skole.hr/
01-163-001;Osnovna škola Gradec;Zagrebačka županija;10345;Gradec;Gradec 93 A;Osnovna škola;Zagrebačka županija;Vlado Starešec;2797-034, 2797-481, 2794-322, 2794-323,2728-855;2797-495;biljana.vojvodic@skole.hr, ured@os-gradec.skole.hr;os-gradec.skole.hr
01-164-001;Osnovna škola Dubrava;Zagrebačka županija;10342;Dubrava;Sv. Margarete 15;Osnovna škola;Zagrebačka županija;Marijana Kozumplik Kemenović;01/2725-219, 01/2725-418, 01/2790-634, 01/2790-634, 01/2726-200;01/2725-219, 2726-200;os-dubrava@os-dubrava.skole.hr;
01-166-001;Osnovna škola Jakovlje;Zagrebačka županija;10297;Jakovlje;Stubička cesta 2;Osnovna škola;Zagrebačka županija;Ljiljana Klepac;01/335-12-00, 01/331-41-24, 01/3391-196;01/335-12-00;ured@os-jakovlje.skole.hr;http://os-jakovlje.skole.hr/
01-198-001;Osnovna škola braće Radića;Zagrebačka županija;10312;Kloštar Ivanić;ŠKOLSKA 20;Osnovna škola;Zagrebačka županija;Tatjana Bakarić;2829 294, 2830 149, 2829 295;2829 296;ured@os-brace-radica-klostarivanic.skole.hr;
01-199-001;Osnovna škola MILKE TRNINE;Zagrebačka županija;10314;Križ;ŠKOLSKA 10;Osnovna škola;Zagrebačka županija;Zlatko Hasan;01-282-44-04, 01 2830151, 01 28 24 126;01-282-45-63, 01-282-45-64, 01-282-45-04, 01 2824504;os-kriz-001@os-mtrnine-kriz.skole.hr;http://www.os-mtrnine-kriz.skole.hr/
02-014-001;OSNOVNA ŠKOLA DONJA STUBICA;Krapinsko-zagorska županija;49240;Donja Stubica;TOPLIČKA 27;Osnovna škola;Krapinsko-zagorska županija;Sonja Martinek;049/286-201, 049/286-201, 049/286-802, 049/287-723;049/286-201;ured1@os-donja-stubica.skole.hr;www.os-donja-stubica.skole.hr
02-035-001;Osnovna škola Antuna Mihanovića;Krapinsko-zagorska županija;49290;Klanjec;ULICA LIJEPE NAŠE 41;Osnovna škola;Krapinsko-zagorska županija;Melita Ulama;049/550-332, 049/550-332, 049/550-332;049/550-665;skola@os-amihanovica-klanjec.skole.hr;os-amihanovica-klanjec.skole.hr
02-040-001;Osnovna škola Augusta Cesarca, Krapina;Krapinsko-zagorska županija;49000;Krapina;IVANA VRENCEA 1;Osnovna škola, Umjetnička škola;GRAD KRAPINA;Matilda Juričev Žigman;049/371-004, 049/371-004, 049/371-484;049/373-409;mjuricev65@gmail.com, ured@os-acesarca-kr.skole.hr;http://www.os-acesarca-kr.skole.hr/
02-040-002;Osnovna škola Ljudevit Gaj u Krapini;Krapinsko-zagorska županija;49000;Krapina;TRG STJEPANA RADIĆA 1;Osnovna škola;GRAD KRAPINA;Vlatka Družinec;049/370-618, 049/370-618, 049/373-702;049/354-233;ured@os-ljudevit-gaj-kr.skole.hr;
02-097-001;Osnovna škola Ksavera Šandora Gjalskog;Krapinsko-zagorska županija;49210;Zabok;ĐAČKI PUT 1;Osnovna škola, Umjetnička škola;Krapinsko-zagorska županija;Tomislav Polanović;049/221-050, 049/221-050, 049/500-639, 049/500641;049/223-623;ured@os-ksaver-sandor-djalski-zabok.skole.hr;
02-110-001;Osnovna škola Zlatar Bistrica;Krapinsko-zagorska županija;49247;Zlatar-Bistrica;Vladimira Nazora 10;Osnovna škola;Krapinsko-zagorska županija;Jasna Kokot Pelko;049/461-749, 049/461-749, 500-432;049/503-066;ured@os-zlatar-bistrica.skole.hr;http://www.os-zlatar-bistrica.skole.hr/
02-123-001;OSNOVNA ŠKOLA JANKA LESKOVARA;Krapinsko-zagorska županija;49218;Pregrada;Dragutina Kunovića 8;Osnovna škola;Krapinsko-zagorska županija;Zdravka Žiger;049/301-217, 049 376114;049/377-522;ured.ospregrada@skole.hr;http://os-pregrada.skole.hr/
02-167-001;OSNOVNA ŠKOLA BEDEKOVČINA;Krapinsko-zagorska županija;49221;Bedekovčina;GAJEVA 13;Osnovna škola;Krapinsko-zagorska županija;Ivan Paradi;049/588-222, 049/588-222, 049/588200, 049/588-202;049/588220;osb-tajnik@kr.t-com.hr, ravnatelj@os-bedekovcina.skole.hr, osb-racunovodstvo@kr.t-com.hr, osb-pedagog@kr.t-com.hr, osb-ravnatelj@kr.t-com.hr, ivan.paradi@skole.hr, os-bedekovcina@kr.htnet.hr;http://os-bedekovcina.skole.hr/
02-167-002;Osnovna škola Stjepana Radića Brestovec Orehovički;Krapinsko-zagorska županija;49228;Brestovec Orehovički;BRESTOVEC OREHOVIČKI 40;Osnovna škola;Krapinsko-zagorska županija;Zdenko Kobeščak;049/238-149;049/238-250;ravnatelj@os-sradica-brestovec.skole.hr, os.stjepana.radica.brestovec.orehovicki@kr.t-com.hr, os-s.radica@kr.t-com.hr, ured@os-sradica-brestovec.skole.hr;http://os-sradica-brestovec.skole.hr/
02-168-001;Osnovna škola VLADIMIR NAZOR BUDINŠČINA;Krapinsko-zagorska županija;49284;Budinšćina;Budinščina 18c;Osnovna škola;Krapinsko-zagorska županija;Renata Kreber-Mikšaj;049/459-113, 049/459-113, 049/459-113, 049/459-308;049/459-113;ured@os-vnazor-budinscina.skole.hr;http://os-vnazor-budinscina.skole.hr/
02-168-002;CENTAR ZA ODGOJ I OBRAZOVANJE ZAJEZDA;Krapinsko-zagorska županija;49284;Zajezda;ZAJEZDA 31;Osnovna škola, Srednja škola;Ministarstvo za demografiju, obitelj, mlade i socijalnu skrb;Denis Sušac;049/459-002, 049 458-115, 049 458-246;049 301-773;zajezda@kr.t-com.hr;
02-169-001;OSNOVNA ŠKOLA ĐURE PREJCA DESINIĆ;Krapinsko-zagorska županija;49216;Desinić;RATKAJEVA 8;Osnovna škola;Krapinsko-zagorska županija;Anica Karažija;049343191, 049343191, 049343483, 049300477;049343191;ured@os-djure-prejca-desinic.skole.hr;
02-170-001;OSNOVNA ŠKOLA ĐURMANEC;Krapinsko-zagorska županija;49225;Đurmanec;ĐURMANEC 49;Osnovna škola;Krapinsko-zagorska županija;Krešimir Kralj;049/346-003, 049/346-003;049/346-003;ured@os-djurmanec.skole.hr;www.os-djurmanec.skole.hr
02-171-001;Osnovna škola Matije Gupca;Krapinsko-zagorska županija;49245;Gornja Stubica;MATIJE GUPCA 2;Osnovna škola;Krapinsko-zagorska županija;Sanja Knezić;049/289-164, 049/289-164, 049/501-017, 049/289-541;049/289-164;osmggs@os-mgupca-gornjastubica.skole.hr, ravnateljica@os-mgupca-gornjastubica.skole.hr;http://os-mgupca-gornjastubica.skole.hr/
02-172-001;OSNOVNA ŠKOLA VIKTORA KOVAČIĆA;Krapinsko-zagorska županija;49231;Hum na Sutli;HUM NA SUTLI 152/1;Osnovna škola;Krapinsko-zagorska županija;Biserka Špiljak;049/341-162, 049/341-255, 049/300-873, 300-874, 300-875;049/341-071;ured@os-vkovacica-humnasutli.skole.hr;http://www.os-vkovacica-humnasutli.skole.hr
02-174-001;Osnovna škola PAVLA ŠTOOSA;Krapinsko-zagorska županija;49294;Kraljevec na Sutli;Kraljevec na Sutli 125;Osnovna škola;Krapinsko-zagorska županija;Ante Vukelić;049/554-086, 049/554-021, 049 554 750;049/503 287;skola@os-pstoosa-kraljevecnasutli.skole.hr;
02-175-001;Osnovna škola LIJEPA NAŠA;Krapinsko-zagorska županija;49215;Tuhelj;TUHELJ 54;Osnovna škola;Krapinsko-zagorska županija;Snježana Romić;049/556-218, 049/556-218, 049/502-352, 049/500-567;049/556-218;ured@os-lijepa-nasa-tuhelj.skole.hr;
02-177-001;OSNOVNA ŠKOLA KONJŠČINA;Krapinsko-zagorska županija;49282;Konjščina;MATIJE GUPCA 6;Osnovna škola;Krapinsko-zagorska županija;Zoran Vuger;049/465-116;049/465-716;ured@os-konjscina.skole.hr;
02-178-001;OSNOVNA ŠKOLA KRAPINSKE TOPLICE;Krapinsko-zagorska županija;49217;Krapinske Toplice;ZAGREBAČKA 12;Osnovna škola;Krapinsko-zagorska županija;Samson Štibohar;049/232-160, 049/502-047, 049/500-581,500-582;049/502-049;os-krapinske-toplice@kr.t-com.hr, skola@os-krapinske-toplice.skole.hr;www.os-krapinske-toplice.skole.hr
02-179-001;Osnovna škola Franje Horvata Kiša;Krapinsko-zagorska županija;49253;Lobor;TRG SV. ANE 28;Osnovna škola;Krapinsko-zagorska županija;Tamara Herceg Babić;049/430-020, 049/501-200, 049/430-020;;ured@os-fhorvata-kisa-lobor.skole.hr;os-fhorvata-kisa-lobor.skole.hr
02-180-001;Osnovna škola Mače;Krapinsko-zagorska županija;49251;Mače;MAČE 32;Osnovna škola;Krapinsko-zagorska županija;Vladimir Grudenić;049/466-584, 049/466-584;;ured@os-mace.skole.hr;www.os-mace.com
02-181-001;Osnovna škola Marija Bistrica;Krapinsko-zagorska županija;49246;Marija Bistrica;Zagrebačka 15;Osnovna škola, Umjetnička škola;Krapinsko-zagorska županija;Vesna Brlek;049/469-161, 049/469-161, 049/468-548, 049/468-548;049/300 171;ured@os-marija-bistrica.skole.hr, vesna.brlek@skole.hr;
02-182-001;OSNOVNA ŠKOLA LJUDEVIT GAJ Mihovljan;Krapinsko-zagorska županija;49252;Mihovljan;Mihovljan 49;Osnovna škola;Krapinsko-zagorska županija;Alen Vokas;049/435-420, 049/435-420, 049/300-910;049/435-420;os-mihovljan@os-ljgaj-mihovljan.hr, ured@os-ljudevit-gaj-mihovljan.skole.hr;
02-183-001;Osnovna škola Oroslavje;Krapinsko-zagorska županija;49243;Oroslavje;ANTUNA MIHANOVIĆA 6;Osnovna škola;Krapinsko-zagorska županija;Sanja Šakoronja;049/284-245, 049/500-075, 049/284-245, 049/500-077;049/500-074;os-oroslavje@kr.t-com.hr, os-oroslavje@os-oroslavje.skole.hr;www.os-oroslavje.skole.hr
02-184-001;Osnovna škola Antuna Mihanovića Petrovsko;Krapinsko-zagorska županija;49234;Petrovsko;PETROVSKO 58;Osnovna škola;Krapinsko-zagorska županija;Andrijana Osredečki;049/300-932, 049/300 717, 049 300 930, 049/300 717, 049/300 931, 049/348 186, 0919750104, 0919831335;049/348-187;skola@os-amihanovica-petrovsko.skole.hr;
02-185-001;OSNOVNA ŠKOLA SIDE KOŠUTIĆ RADOBOJ;Krapinsko-zagorska županija;49232;Radoboj;RADOBOJ 21;Osnovna škola;Krapinsko-zagorska županija;Dražen Gerić;049/349-143, 049/349-143, 049/349-371,349-428, 349-098;049/300-355;radoboj@os-skosutic-radoboj.skole.hr;
02-187-001;OSNOVNA ŠKOLA SVETI KRIŽ ZAČRETJE;Krapinsko-zagorska županija;49223;Sveti Križ Začretje;ŠKOLSKA 5;Osnovna škola;Krapinsko-zagorska županija;Božidar Kučko;049/227-968,228-071, 049/227-968, 091/3320130, 049/228-390, 503-783;049/228-071;ured@os-sveti-kriz-zacretje.skole.hr;
02-188-001;Osnovna škola Veliko Trgovišće;Krapinsko-zagorska županija;49214;Veliko Trgovišće;STJEPANA RADIĆA 27;Osnovna škola;Krapinsko-zagorska županija;Diana Duk-Petek;049/236-290, 049/236-290, 049/237-399, 0917337783;049/236-290;ured@os-veliko-trgovisce.skole.hr;
02-189-001;Osnovna škola Ante Kovačića;Krapinsko-zagorska županija;49250;Zlatar;VLADIMIRA NAZORA 1;Osnovna škola;Krapinsko-zagorska županija;Marijan Posarić;049/466-832, 049/466-832, 049/466-373;049/466-370;, ured@os-akovacica-zlatar.skole.hr;
02-552-001;Osnovna škola GORNJE JESENJE;Krapinsko-zagorska županija;49233;Gornje Jesenje;GORNJE JESENJE 78;Osnovna škola;Krapinsko-zagorska županija;Ljerka Malogorski Dragoslavić;049/375-012;049/375-012;os-gornje-jesenje@kr.t-com.hr, ured@os-gornje-jesenje.skole.hr;
02-553-001;Osnovna škola Josipa Broza;Krapinsko-zagorska županija;49295;Kumrovec;Antuna Mihanovića 8;Osnovna škola;Krapinsko-zagorska županija;Željka Topfer;049/553-169, 049/553-169/11, 049/501-443, 049/500-207;049/501-849;ured@os-josipa-broza-kumrovec.skole.hr;
03-021-001;Osnovna škola Dvor;Sisačko-moslavačka županija;44440;Dvor;Ante Brune Bušića 5;Osnovna škola;Sisačko-moslavačka županija;Klara Pereković;044/871-650, 044/871-830, 044 871 831, 044/871-326, 044/871-095;;osnovna-skola-dvor@os-dvor.skole.hr;http://os-dvor.skole.hr/
03-025-001;OSNOVNA ŠKOLA GLINA;Sisačko-moslavačka županija;44400;Glina;Dr.Ante Starčevića 1;Osnovna škola;Sisačko-moslavačka županija;Robertina Štajdohar;044-880-663, 044-880-661, 044-880-662, 099-2334-095, 044-880-678, 044-880-679;044-882-174;os-glina@sk.t-com.hr, ured@os-glina.skole.hr;www.os-glina.skole.hr
03-039-001;OSNOVNA ŠKOLA DAVORINA TRSTENJAKA;Sisačko-moslavačka županija;44430;Hrvatska Kostajnica;Školska 9;Osnovna škola;Sisačko-moslavačka županija;Medina Omerović Pužar;044/851-099;;skola@os-dtrstenjaka-hrkostajnica.skole.hr;os-dtrstenjaka-hrkostajnica.skole.hr
03-043-001;OSNOVNA ŠKOLA BANOVA JARUGA;Sisačko-moslavačka županija;44321;Banova Jaruga;STJEPANA RADIĆA 118;Osnovna škola;GRAD KUTINA;Sanja Marčec;044/668-005;044/668-005;ured@os-banova-jaruga.skole.hr;https://os-banova-jaruga.site123.me/, http://os-banova-jaruga.skole.hr/
03-043-002;OSNOVNA ŠKOLA MATE LOVRAKA;Sisačko-moslavačka županija;44320;Kutina;CRKVENA 57;Osnovna škola;grad Kutina;Vedrana Banda;044/683-277, 044/660-101, 044/660-103;044/683-277;skola@os-mate-lovraka-kt.skole.hr;www.os-mate-lovraka-kt.skole.hr
03-043-003;OSNOVNA ŠKOLA VLADIMIRA VIDRIĆA;Sisačko-moslavačka županija;44320;Kutina;ŠKOLSKA 2;Osnovna škola;GRAD KUTINA;Snježana Coha;044/682-325, 682-326, 044/682-326;044/682-325;skola@os-vvidrica-kt.skole.hr;
03-043-004;OSNOVNA ŠKOLA STJEPANA KEFELJE;Sisačko-moslavačka županija;44320;Kutina;Nikole Tesle 1;Osnovna škola;GRAD KUTINA;Ivica Petrović;044/660-850, 044/660-853, 044/660-860;044/660-869;skola@os-stjepana-kefelje-kt.skole.hr;http://os-stjepana-kefelje-kt.skole.hr/
03-043-005;OSNOVNA ŠKOLA ZVONIMIRA FRANKA;Sisačko-moslavačka županija;44320;Kutina;S. S. KRANJČEVIĆA 2;Osnovna škola;GRAD KUTINA;Dario Duda;044/660-454, 044/660-447;044/660-455;skola@os-zvonimira-franka-kt.skole.hr;www.os-zvonimira-franka-kt.skole.hr
03-054-001;OSNOVNA ŠKOLA NOVSKA;Sisačko-moslavačka županija;44330;Novska;TRG DR. FRANJE TUĐMANA 1;Osnovna škola;Sisačko-moslavačka županija;Antonija Mirosavljević;044/691-469, 044/691-467, 044 600 095, 044 691 465, 044 691 468, 044 691 466, 044 691 461;;os-novska@os-novska.skole.hr;http://www.os-novska.hr/
03-054-002;OSNOVNA ŠKOLA RAJIĆ;Sisačko-moslavačka županija;44323;Rajić;TRG HRVATSKIH BRANITELJA 6;Osnovna škola;Sisačko-moslavačka županija;Damir Blažeković;044/674-007, 044/674-005;044/674-007;skola@os-rajic.skole.hr;www.os-rajic.skole.hr
